,Признак,коэффициент Спирмана,feature importance
200,ALAS_yuv_u_mode,0.20873284000596626,0.18311068592788166
64,ALAS_hsv_s_max,-0.20782952710577193,0.3381676226130826
148,S_rgb_r_min,-0.20328972475056317,0.19200854287743638
305,area_0_190_ellipse_0.95,0.2032064834836167,0.1578025345002586
299,S_hsv_v_min,-0.20098778405027137,0.2311928320296807
169,lbp5,-0.20067674049906492,0.1635001640561148
174,I_sobely_r_max,0.2002768989616496,0.1984037846141169
426,I_yuv_y_Q5,0.200003485928547,0.11855755695080811
25,ALAS_yuv_u_Q5,0.19975650354614,0.28501809626323116
247,lbp6,-0.1987682604429319,0.14264958198812092
367,L_sobely_r_Q95,0.19755008965854762,0.2089952350900573
368,I_sobelx2_full_max,0.19718345163864012,0.1747061118044113
327,area_1_150_ellipse_0.85,0.1962355240684197,0.17421061569892626
180,S_yuv_u_max,0.19330078556289426,0.17704328774720285
88,L_hsv_s_min,-0.19239042852869073,0.16898152900547828
415,lbp7,-0.19201996052253764,0.16553141271463961
251,L_xyz_y_std,-0.1918187149990478,0.10570171133201535
382,ALAS_sobely2_r_Q15,-0.1911767355112994,0.13174781042373745
410,I_yuv_u_max,0.19028688098519575,0.19782974698715972
357,I_sobely2_g_max,0.19009499960979645,0.3443849702395407
133,I_yuv_v_Q5,-0.1900329572008377,0.1350716043724798
179,ALAS_hsv_s_Q25,-0.18936620858286765,0.17252434078693585
45,L_rgb_g_std,-0.18791600437762868,0.4041087663095121
183,ALAS_yuv_v_Q95,-0.18743831397258037,0.16754852417623567
234,I_sobely2_b_max,0.18634385832652556,0.12842305718131064
71,S_sobely2_g_std,0.18623295759200822,0.20873451295452972
125,S_sobely2_b_std,0.1857259794562332,0.22343683657736157
26,ALAS_hsv_s_mode,-0.18458479730816413,0.45221542757869526
213,min_rd,0.18394567135901085,0.23672675235782223
364,S_laplacian_b_max,0.18341922836127436,0.10060491420949563
161,ALAS_hsv_full_Q95,-0.18265152664978698,0.19990409118865643
279,I_hsv_v_std,-0.17962629451497042,0.1413279071516942
423,area_2_150_hull_0.45,0.1791983033259864,0.18067061813821175
271,I_hsv_s_max,-0.17896058712175963,0.1905022466109818
19,ALAS_sobel_8u_r_Q50,-0.1783164016528207,0.1602540635139921
127,I_yuv_v_Q25,-0.1782145272496116,0.43293840202277956
377,S_sobely_g_max,0.17817780547151144,0.16906019623598076
318,L_laplacian_g_max,0.17384084230712235,0.1154109697965609
96,S_hsv_s_min,-0.17372508891636318,0.1589928979070814
204,I_hsv_s_min,-0.1733260335275225,0.14572059743379046
156,S_sobelx2_b_max,0.17330516773024524,0.1548105438217948
244,lbp8,-0.17265775234682365,0.0873799769608708
53,I_sobely2_r_max,0.17124344405685457,0.30237259934097377
344,I_sobelx_g_std,0.171120189720797,0.15812808234600675
338,ALAS_hsv_full_Q55,-0.17096264471325434,0.21954966820021593
226,ALAS_rgb_g_min,0.16986931820145854,0.16029939295141835
199,max_cr6,0.16935728796353075,0.32380157065385606
54,S_rgb_g_std,0.16870875766756482,0.3427862869107207
306,I_sobely2_full_max,0.1679201779712998,0.14562778377601224
176,S_sobely_r_Q95,0.16569101386417165,0.28188535789683666
301,haralick13,-0.16419797273245987,0.1647206616256356
386,L_hsv_full_Q35,-0.16388518090249238,0.19015288494961666
421,ALAS_yuv_u_max,0.16365805754309734,0.18525604901190368
210,lbp15,-0.16344093860699438,0.1779141340442496
261,area_2_130_hull_0.45,0.16307272665245373,0.2537735776525639
140,I_rbg_full_min,0.16300239272509806,0.22468456069348017
106,ALAS_sobelx8u_r_Q50,-0.16052138284804415,0.24958688712762475
411,I_sobelx_r_std,0.15959104676230193,0.09990503933507926
403,S_laplacian_g_max,0.15874012294946047,0.07835850819290337
154,L_yuv_u_max,0.1575050569464888,0.25380501328229005
90,L_hsv_v_std,-0.15707800622242873,0.3709435806331957
284,ALAS_xyz_full_mode,0.15685278124186924,0.16571018464411041
413,ALAS_hsv_s_min,-0.15569169411352715,0.12484025621280327
235,mean_cr6,0.15379908212447915,0.19396247815290707
79,L_rgb_r_std,-0.15307482257972266,0.3240358960058453
275,ALAS_sobely2_full_Q40,-0.15249877194725184,0.22359347986086156
229,L_rgb_g_min,0.15206467185964376,0.15312085863117597
11,S_hsv_s_std,0.15131013229613105,0.6985515868907513
208,area_1_30_hull_0.35,0.15045237831091943,0.13617960870958642
417,L_sobely_b_max,0.149395407069638,0.2257533836793296
274,I_xyz_full_min,0.14673136555892,0.29363390728538874
243,S_sobely2_b_max,0.146674649091397,0.1883366528688404
77,S_yuv_v_Q35,-0.145277073003831,0.16373297752137372
12,ALAS_yuv_full_mode,0.14496798164167266,0.6017676166748968
414,S_sobelx8u_b_std,0.1444795375135326,0.23123950653879782
356,I_laplacian_g_std,0.1438409353948462,0.23473251912990167
350,S_sobely2_r_Q95,0.14368384080634347,0.14817833351264076
194,ALAS_laplacian_r_max,0.14344845276394633,0.19811236246381336
51,L_hsv_full_Q95,-0.14344011163893486,0.2776814888256418
56,L_hsv_full_Q65,-0.14230635719995338,0.25467607206342113
211,S_sobelx2_g_max,0.14220013675848678,0.14805814667610148
348,ALAS_yuv_u_Q85,0.13889517244238134,0.16125347154663283
113,ALAS_sobelx_g_max,0.13880261382665102,0.20673906220534802
316,S_yuv_v_Q50,-0.13805691742267057,0.049532486448473995
60,ALAS_laplacian_g_max,0.13708437273880408,0.23836015308771763
324,ALAS_sobelx_r_max,0.13374266062692577,0.24680882730431786
236,L_rgb_b_max,0.13309745695283362,0.20647805399512523
83,lbp16,-0.13268024192962716,0.22303184037493615
282,L_hsv_full_Q90,-0.13150817382116017,0.2531090250980312
406,ALAS_sobelx_full_max,0.13126530317319157,0.13828080328259043
222,S_xyz_x_std,0.12836806684677496,0.11699420707801426
116,S_rgb_g_max,0.12801389887112025,0.1557165768920798
